;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,09;-163,53;7,91;15329956;-96,12;162,34;-19,61;15336896;143,96;-179,09;-2,81;15343732;151,2;176,02;15,41;15349084;-0,65;9,8;-7,59;15355284;13137763;6940;6836;5352;6200;25328;0,13413;7,455453664
-51,09;-163,53;7,91;15461588;-96,12;162,34;-19,61;15468136;143,96;-179,09;-2,81;15473572;151,2;176,02;15,41;15478928;-0,65;9,8;-7,59;15485648;13269563;6548;5436;5356;6720;24060;0,1318;7,587253414
-51,09;-163,53;7,91;15591716;-96,12;162,34;-19,61;15598380;143,96;-179,09;-2,81;15606560;151,2;176,02;15,41;15611912;-0,65;9,8;-7,59;15617660;13398871;6664;8180;5352;5748;25944;0,129308;7,733473567
-51,09;-163,53;7,91;15723076;-96,12;162,34;-19,61;15729328;143,96;-179,09;-2,81;15737036;151,2;176,02;15,41;15744292;-0,65;9,8;-7,59;15749980;13530903;6252;7708;7256;5688;26904;0,132032;7,573921474
-51,09;-163,53;7,91;15857548;-96,12;162,34;-19,61;15863504;143,96;-179,09;-2,81;15869848;151,2;176,02;15,41;15877292;-0,65;9,8;-7,59;15882760;13663130;5956;6344;7444;5468;25212;0,132227;7,562751934
-51,09;-163,53;7,91;15989076;-96,12;162,34;-19,61;15996048;143,96;-179,09;-2,81;16001908;151,2;176,02;15,41;16008644;-0,65;9,8;-7,59;16016064;13796934;6972;5860;6736;7420;26988;0,133804;7,473618128
-51,09;-163,53;7,91;16121288;-96,12;162,34;-19,61;16127008;143,96;-179,09;-2,81;16132872;151,2;176,02;15,41;16139044;-0,65;9,8;-7,59;16145944;13929377;5720;5864;6172;6900;24656;0,132443;7,550417916
-51,09;-163,53;7,91;16251280;-96,12;162,34;-19,61;16259232;143,96;-179,09;-2,81;16267472;151,2;176,02;15,41;16274428;-0,65;9,8;-7,59;16281584;14059379;7952;8240;6956;7156;30304;0,130002;7,692189351
-51,09;-163,53;7,91;16389088;-96,12;162,34;-19,61;16394820;143,96;-179,09;-2,81;16400540;151,2;176,02;15,41;16408408;-0,65;9,8;-7,59;16413900;14195626;5732;5720;7868;5492;24812;0,136247;7,339611147
-51,09;-163,53;7,91;16521060;-96,12;162,34;-19,61;16526344;143,96;-179,09;-2,81;16532124;151,2;176,02;15,41;16538980;-0,65;9,8;-7,59;16544728;14329395;5284;5780;6856;5748;23668;0,133769;7,475573563
